name,versions,fmts,fmt_str,dataset,module_type,network_architecture,author
Wiki-words-250-with-normalization@@google,2,2,"hub,saved_model_2",Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-250@@google,2,2,"hub,saved_model_2",Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-500-with-normalization@@google,2,2,"hub,saved_model_2",Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-500@@google,2,2,"hub,saved_model_2",Wikipedia,text-embedding,word2vec skip-gram,2
albert_base@@google,3,1,hub,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_en_base@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_large@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_xlarge@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_xxlarge@@tensorflow,1,1,saved_model_2,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_large@@google,3,1,hub,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_lite_base@@tensorflow,1,1,saved_model_2,SQuAD,text-embedding,Transformer,1
albert_xlarge@@google,3,1,hub,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_xxlarge@@google,3,1,hub,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
bert-uncased-tf2-qa@@see--,1,1,saved_model_2,Natural Questions,text-question-answering,transformer,1
bert_cased_L-12_H-768_A-12@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_cased_L-24_H-1024_A-16@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_chinese_L-12_H-768_A-12@@google,1,1,hub,Wikipedia and BooksCorpus,text-embedding,Transformer,1
