name,fmts,fmt_str
Wiki-words-250-with-normalization@@google,2,"hub,saved_model_2"
Wiki-words-250@@google,2,"hub,saved_model_2"
Wiki-words-500-with-normalization@@google,2,"hub,saved_model_2"
Wiki-words-500@@google,2,"hub,saved_model_2"
albert_base@@google,1,hub
albert_en_base@@tensorflow,1,saved_model_2
albert_en_large@@tensorflow,1,saved_model_2
albert_en_xlarge@@tensorflow,1,saved_model_2
albert_en_xxlarge@@tensorflow,1,saved_model_2
albert_large@@google,1,hub
albert_lite_base@@tensorflow,1,saved_model_2
albert_xlarge@@google,1,hub
albert_xxlarge@@google,1,hub
bert-uncased-tf2-qa@@see--,1,saved_model_2
bert_cased_L-12_H-768_A-12@@google,1,hub
bert_cased_L-24_H-1024_A-16@@google,1,hub
bert_chinese_L-12_H-768_A-12@@google,1,hub
bert_en_cased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_en_cased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_uncased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_en_uncased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_wwm_cased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_en_wwm_uncased_L-24_H-1024_A-16@@tensorflow,1,saved_model_2
bert_multi_cased_L-12_H-768_A-12@@google,1,hub
bert_multi_cased_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bert_uncased_L-12_H-768_A-12@@google,1,hub
bert_uncased_L-24_H-1024_A-16@@google,1,hub
bert_zh_L-12_H-768_A-12@@tensorflow,1,saved_model_2
bigbigan-resnet50@@deepmind,1,hub
bigbigan-revnet50x4@@deepmind,1,hub
biggan-128@@deepmind,1,hub
biggan-256@@deepmind,1,hub
biggan-512@@deepmind,1,hub
biggan-deep-128@@deepmind,1,hub
biggan-deep-256@@deepmind,1,hub
biggan-deep-512@@deepmind,1,hub
compare_gan-model_10_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_11_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_12_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_13_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_14_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_15_cifar10_resnet_cifar@@google,1,hub
compare_gan-model_1_celebahq128_resnet19@@google,1,hub
compare_gan-model_2_celebahq128_resnet19@@google,1,hub
compare_gan-model_3_lsun_bedroom_resnet19@@google,1,hub
compare_gan-model_4_lsun_bedroom_resnet19@@google,1,hub
