name,dataset,module_type,network_architecture,author
Wiki-words-250-with-normalization@@google,Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-250@@google,Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-500-with-normalization@@google,Wikipedia,text-embedding,word2vec skip-gram,2
Wiki-words-500@@google,Wikipedia,text-embedding,word2vec skip-gram,2
albert_base@@google,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_en_base@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_large@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_xlarge@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_en_xxlarge@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
albert_large@@google,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_lite_base@@tensorflow,SQuAD,text-embedding,Transformer,1
albert_xlarge@@google,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
albert_xxlarge@@google,Wikipedia| BooksCorpus| Stories| CommonCrawl| Giga5| Clue Web,text-embedding,Transformer,3
bert-uncased-tf2-qa@@see--,Natural Questions,text-question-answering,transformer,1
bert_cased_L-12_H-768_A-12@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_cased_L-24_H-1024_A-16@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_chinese_L-12_H-768_A-12@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_cased_L-12_H-768_A-12@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_cased_L-24_H-1024_A-16@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_uncased_L-12_H-768_A-12@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_uncased_L-24_H-1024_A-16@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_wwm_cased_L-24_H-1024_A-16@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_en_wwm_uncased_L-24_H-1024_A-16@@tensorflow,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_multi_cased_L-12_H-768_A-12@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_multi_cased_L-12_H-768_A-12@@tensorflow,Multilingual Wikipedia,text-embedding,Transformer,1
bert_uncased_L-12_H-768_A-12@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_uncased_L-24_H-1024_A-16@@google,Wikipedia and BooksCorpus,text-embedding,Transformer,1
bert_zh_L-12_H-768_A-12@@tensorflow,Wikipedia,text-embedding,Transformer,1
bigbigan-resnet50@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigBiGAN,1
bigbigan-revnet50x4@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigBiGAN,1
biggan-128@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-256@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-512@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,2
biggan-deep-128@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
biggan-deep-256@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
biggan-deep-512@@deepmind,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN-deep,1
compare_gan-model_10_lsun_bedroom_resnet19@@google,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_11_cifar10_resnet_cifar@@google,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_12_cifar10_resnet_cifar@@google,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_13_cifar10_resnet_cifar@@google,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_14_cifar10_resnet_cifar@@google,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_15_cifar10_resnet_cifar@@google,CIFAR-10,image-generator,ResNet CIFAR,1
compare_gan-model_1_celebahq128_resnet19@@google,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_2_celebahq128_resnet19@@google,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_3_lsun_bedroom_resnet19@@google,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_4_lsun_bedroom_resnet19@@google,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_5_celebahq128_resnet19@@google,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_6_celebahq128_resnet19@@google,CelebA HQ,image-generator,ResNet19,1
compare_gan-model_7_lsun_bedroom_resnet19@@google,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_8_lsun_bedroom_resnet19@@google,LSUN Bedroom,image-generator,ResNet19,1
compare_gan-model_9_celebahq128_resnet19@@google,CelebA HQ,image-generator,ResNet19,1
compare_gan-s3gan_10_128x128@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_10_256x256@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_20_128x128@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_2_5_128x128@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-s3gan_5_128x128@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BiGAN,1
compare_gan-ssgan_128x128@@google,ImageNet (ILSVRC-2012-CLS),image-generator,BigGAN,1
cond-biggan@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,BigGAN,1
delf@@google,None,image-others,DELF,1
efficientnet-b0-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B0,1
efficientnet-b0-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B0,1
efficientnet-b1-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B1,1
efficientnet-b1-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B1,1
efficientnet-b2-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B2,1
efficientnet-b2-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B2,1
efficientnet-b3-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B3,1
efficientnet-b3-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B3,1
efficientnet-b4-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B4,1
efficientnet-b4-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B4,1
efficientnet-b5-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B5,1
efficientnet-b5-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B5,1
efficientnet-b6-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B6,1
efficientnet-b6-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B6,1
efficientnet-b7-classification@@google,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B7,1
efficientnet-b7-feature-vector@@google,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B7,1
efficientnet-lite0-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B0,1
efficientnet-lite0-feature-vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B0,1
efficientnet-lite1-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B1,1
efficientnet-lite1-feature-vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B1,1
efficientnet-lite2-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B2,1
efficientnet-lite2-feature-vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B2,1
efficientnet-lite3-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B3,1
efficientnet-lite3-feature-vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B3,1
efficientnet-lite4-classification@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-classification,EfficientNet-B4,1
efficientnet-lite4-feature-vector@@tensorflow,ImageNet (ILSVRC-2012-CLS),image-feature-vector,EfficientNet-B4,1
elmo@@google,1 Billion Word Benchmark,text-embedding,ELMo,3
esrgan-tf2@@captain-pool,DIV2K,image-super-resolution,GAN,1
exemplar@@vtab,ImageNet (ILSVRC-2012-CLS),image-feature-vector,ResNet50-v2,1
faster_rcnn-openimages_v4-inception_resnet_v2@@google,OpenImagesV4,image-object-detection,Faster R-CNN,1
