name,version,dataset,fmt,module_type,network_architecture,author
universal-sentence-encoder-multilingual-qa@@google,1,None,hub,text-embedding,Transformer,google
universal-sentence-encoder-multilingual-qa@@google,2,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
universal-sentence-encoder-multilingual-qa@@google,3,None,saved_model_2,text-embedding,Transformer,google
imagenet-mobilenet_v1_075_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,MobileNet V1,google
imagenet-mobilenet_v1_050_160-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,MobileNet V1,google
elmo@@google,1,1 Billion Word Benchmark,hub,text-embedding,ELMo,google
speech_embedding@@google,1,None,hub,audio-embedding,KeyWordSpottingNet,google
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
biggan-deep-128@@deepmind,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BigGAN-deep,deepmind
imagenet-inception_resnet_v2-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception ResNet V2,google
imagenet-mobilenet_v1_050_192-quantops-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
imagenet-inception_resnet_v2-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,Inception ResNet V2,google
imagenet-nasnet_large-classification@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (large),google
compare_gan-s3gan_5_128x128@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-generator,BiGAN,google
imagenet-nasnet_large-classification@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-classification,NASNet-A (large),google
imagenet-mobilenet_v2_050_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_050_96-feature_vector@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-feature-vector,MobileNet V2,google
i3d-kinetics-600@@deepmind,1,Kinetics-600,hub,video-classification,I3D,deepmind
imagenet-mobilenet_v2_075_96-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-nasnet_large-classification@@google,4,ImageNet (ILSVRC-2012-CLS),saved_model_2,image-classification,NASNet-A (large),google
imagenet-mobilenet_v2_075_96-feature_vector@@google,2,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
imagenet-mobilenet_v2_075_96-feature_vector@@google,3,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V2,google
remote_sensing-eurosat-resnet50@@google,1,Multiple,hub,image-feature-vector,ResNet V2 50,google
imagenet-mobilenet_v1_100_128-feature_vector@@google,1,ImageNet (ILSVRC-2012-CLS),hub,image-feature-vector,MobileNet V1,google
tf2-preview-nnlm-es-dim50-with-normalization@@google,1,Google News,saved_model_2,text-embedding,NNLM,google
